"";"Genes"
"986";"AT4G39980"
"987";"AT2G47190"
"988";"AT1G02900"
"989";"AT3G12400"
"990";"AT4G01740"
"991";"AT2G41730"
"992";"AT4G14580"
"993";"AT1G68740"
"994";"AT4G27310"
"995";"AT3G13435"
"996";"AT5G59530"
"997";"AT1G32690"
"998";"AT4G37780"
"999";"AT1G57820"
"1000";"AT5G03630"
"1001";"AT1G45180"
"1002";"AT1G09935"
"1003";"AT4G11230"
"1004";"AT5G13210"
"1005";"AT2G43610"
"1006";"AT2G40170"
"1007";"AT1G59850"
"1008";"AT3G24540"
"1009";"AT3G06760"
"1010";"AT5G01570"
"1011";"AT1G48720"
"1012";"AT3G59690"
"1013";"AT2G25295"
"1014";"AT3G57200"
"1015";"AT4G05020"
"1016";"AT4G28290"
"1017";"AT1G33612"
"1018";"AT5G05380"
"1019";"AT4G29340"
"1020";"AT1G69810"
"1021";"AT3G02270"
"1022";"AT5G23710"
"1023";"AT1G15125"
"1024";"AT1G47130"
"1025";"AT4G39580"
"1026";"AT1G14730"
"1027";"AT3G24810"
"1028";"AT1G17710"
"1029";"AT1G65730"
"1030";"AT1G06160"
"1031";"AT5G39390"
"1032";"AT1G12940"
"1033";"AT5G61780"
"1034";"AT2G41450"
"1035";"AT4G22030"
"1036";"AT2G46650"
"1037";"AT1G32940"
"1038";"AT4G25670"
"1039";"AT3G15540"
"1040";"AT1G02400"
"1041";"AT1G52900"
"1042";"AT2G24330"
"1043";"AT5G43068"
"1044";"AT4G28460"
"1045";"AT1G61610"
"1046";"AT1G53990"
"1047";"AT3G13433"
"1048";"AT5G08360"
"1049";"AT3G28550"
"1050";"AT4G04480"
"1051";"AT1G18980"
"1052";"AT1G68620"
"1053";"AT2G31110"
"1054";"AT1G73550"
"1055";"AT5G67310"
"1056";"AT3G60110"
"1057";"AT2G24170"
"1058";"AT2G44480"
"1059";"AT4G38552"
"1060";"AT3G50190"
"1061";"AT1G55920"
"1062";"AT1G27020"
"1063";"AT4G15890"
"1064";"AT3G50310"
"1065";"AT5G65300"
"1066";"AT1G47840"
"1067";"AT1G21313"
"1068";"AT2G41342"
"1069";"AT2G32460"
"1070";"AT4G30280"
"1071";"AT3G26700"
"1072";"AT4G39320"
"1073";"AT2G32660"
"1074";"AT4G12090"
"1075";"AT4G02520"
"1076";"AT1G11790"
"1077";"AT4G28085"
"1078";"AT1G79920"
"1079";"AT3G54810"
"1080";"AT2G39435"
"1081";"AT5G09730"
"1082";"AT1G30640"
"1083";"AT2G39880"
"1084";"AT1G47380"
"1085";"AT1G04360"
"1086";"AT2G02310"
"1087";"AT4G22960"
"1088";"AT1G78210"
"1089";"AT2G40740"
"1090";"AT3G18710"
"1091";"AT4G01535"
"1092";"AT1G64160"
"1093";"AT3G62720"
"1094";"AT1G14070"
"1095";"AT5G16930"
"1096";"AT5G62162"
"1097";"AT5G05440"
"1098";"AT2G36200"
"1099";"AT1G66400"
"1100";"AT1G10410"
"1101";"AT1G61810"
"1102";"AT3G22620"
"1103";"AT1G21310"
"1104";"AT5G04980"
"1105";"AT1G14430"
"1106";"AT5G22350"
"1107";"AT5G47200"
"1108";"AT1G58340"
"1109";"AT1G05710"
"1110";"AT4G30430"
"1111";"AT5G24206"
"1112";"AT3G44340"
"1113";"AT4G12495"
"1114";"AT1G35350"
"1115";"AT1G60730"
"1116";"AT2G15760"
"1117";"AT4G32200"
"1118";"AT2G36440"
"1119";"AT3G04700"
"1120";"AT4G30910"
"1121";"AT5G05140"
"1122";"AT4G01870"
"1123";"AT3G24550"
"1124";"AT1G24600"
"1125";"AT2G39420"
"1126";"AT1G80440"
"1127";"AT5G60760"
"1128";"AT1G58190"
"1129";"AT3G13275"
"1130";"AT1G76965"
"1131";"AT5G61160"
"1132";"AT4G22470"
"1133";"AT2G35210"
"1134";"AT4G32920"
"1135";"AT2G17050"
"1136";"AT1G63930"
"1137";"AT4G25810"
"1138";"AT5G52250"
"1139";"AT2G22330"
"1140";"AT1G09070"
"1141";"AT5G58350"
"1142";"AT2G41690"
"1143";"AT5G63930"
"1144";"AT5G48670"
"1145";"AT5G07080"
"1146";"AT5G44400"
"1147";"AT1G69770"
"1148";"AT3G01650"
"1149";"AT3G19210"
"1150";"AT3G13782"
