"";"Genes"
"961";"AT4G16660"
"962";"AT3G11320"
"963";"AT5G44990"
"964";"AT3G29360"
"965";"AT5G17060"
"966";"AT3G13430"
"967";"AT3G53260"
"968";"AT4G18430"
"969";"AT3G51160"
"970";"AT2G20320"
"971";"AT2G42330"
"972";"AT3G26210"
"973";"AT5G06320"
"974";"AT3G46930"
"975";"AT2G17720"
"976";"AT3G06540"
"977";"AT3G21295"
"978";"AT4G21500"
"979";"AT5G44060"
"980";"AT3G50140"
"981";"AT5G41940"
"982";"AT1G54170"
"983";"AT5G25910"
"984";"AT3G44830"
"985";"AT5G03380"
"986";"AT5G19240"
"987";"AT1G74330"
"988";"AT5G42050"
"989";"AT5G51190"
"990";"AT5G15870"
"991";"AT2G40810"
"992";"AT1G12200"
"993";"AT3G48760"
"994";"AT5G58940"
"995";"AT4G29520"
"996";"AT1G32928"
"997";"AT3G51660"
"998";"AT1G22510"
"999";"AT1G11310"
"1000";"AT3G57480"
"1001";"AT3G52800"
"1002";"AT1G47890"
"1003";"AT2G38410"
"1004";"AT2G07180"
"1005";"AT5G66890"
"1006";"AT4G20830"
"1007";"AT1G18300"
"1008";"AT3G09000"
"1009";"AT1G02740"
"1010";"AT3G62150"
"1011";"AT5G40780"
"1012";"AT4G24920"
"1013";"AT5G39660"
"1014";"AT1G62740"
"1015";"AT3G04640"
"1016";"AT1G17830"
"1017";"AT1G73250"
"1018";"AT3G48780"
"1019";"AT4G39950"
"1020";"AT2G21900"
"1021";"AT5G10520"
"1022";"AT1G51790"
"1023";"AT2G13275"
"1024";"AT5G54165"
"1025";"AT5G14480"
"1026";"AT1G14260"
"1027";"AT4G23320"
"1028";"AT5G01720"
"1029";"AT4G01700"
"1030";"AT1G56145"
"1031";"AT5G20730"
"1032";"AT3G59570"
"1033";"AT3G59080"
"1034";"AT1G10290"
"1035";"AT1G28280"
"1036";"AT1G30700"
"1037";"AT2G46940"
"1038";"AT2G15480"
"1039";"AT1G09080"
"1040";"AT4G04800"
"1041";"AT2G17520"
"1042";"AT3G19970"
"1043";"AT5G42460"
"1044";"AT3G44730"
"1045";"AT1G02920"
"1046";"AT1G76070"
"1047";"AT3G22060"
"1048";"AT1G27500"
"1049";"AT5G13205"
"1050";"AT2G18000"
"1051";"AT5G53110"
"1052";"AT4G23210"
"1053";"AT1G34750"
"1054";"AT5G36925"
"1055";"AT5G38880"
"1056";"AT5G22770"
"1057";"AT3G54620"
"1058";"AT3G55840"
"1059";"AT3G53120"
"1060";"AT4G30390"
"1061";"AT2G28940"
"1062";"AT4G39780"
"1063";"AT5G58190"
"1064";"AT4G01960"
"1065";"AT4G27500"
"1066";"AT5G07650"
"1067";"AT2G01600"
"1068";"AT5G11650"
"1069";"AT5G49680"
"1070";"AT1G74740"
"1071";"AT3G15340"
"1072";"AT2G35710"
"1073";"AT1G30814"
"1074";"AT1G33030"
"1075";"AT4G16840"
"1076";"AT3G50480"
"1077";"AT3G07800"
"1078";"AT1G58420"
"1079";"AT3G09040"
"1080";"AT5G01640"
